last name, first name | studentID | grade | clubs | birthdate
Summers, Theo | 1283920 | 11 | Math League | 09/19/2010
Garner, Chloe | 1278450 | 12 | Drama, Art Society | 08/15/2009
Torrence, Nolan | 1492837 | 10 | Robotics, Math League | 08/05/2010
Jenkins, Rowan | 1129384 | 11 | Environmental Club | 12/07/2009
O’Neill, Mira | 1750293 | 12 | Robotics, Environmental Club | 05/19/2008
Sheldon, Luca | 1193847 | 11 | Chess Club, Coding Club | 06/17/2010
Soto, Lacey | 1364928 | 11 | Drama, Coding Club | 03/21/2009
Barker, Simon | 1182043 | 11 | Robotics, Coding Club | 02/02/2009
Woods, Everett | 1784029 | 09 | Environmental Club | 12/21/2012
Zeller, Jonah | 1938402 | 12 | Coding Club, Math League | 05/20/2009
Finch, Rowan | 1759384 | 12 | Environmental Club, Math League | 01/05/2008
Dalton, Marcus | 1928475 | 09 | Math League | 01/24/2012
Reeves, Nolan | 1758492 | 12 | Robotics, Coding Club | 12/01/2009
Summers, Theo | 1283920 | 11 | Math League | 11/10/2010
Hayes, Milo | 1938472 | 09 | Chess Club, Debate | 06/10/2012
York, Selene | 1992834 | 12 | Math League, Debate | 07/19/2009
Aldridge, Kayden | 1123948 | 10 | Debate, Math League | 02/01/2011
Michaels, Raelynn | 1784932 | 11 | Robotics, Math League | 03/21/2010
Valencia, Nora | 1683940 | 12 | Art Society | 08/25/2009
Lopez, Devin | 1304958 | 09 | Environmental Club, Debate | 09/23/2012
Turner, Miles | 1938472 | 10 | Debate | 07/21/2010
Briggs, Talia | 1748293 | 12 | Art Society | 12/28/2009
Nash, Dalton | 1428394 | 09 | Debate, Math League | 09/14/2012
Spencer, Kayla | 1509384 | 10 | Debate, Coding Club | 11/04/2011
Garner, Chloe | 1278450 | 12 | Drama, Art Society | 03/21/2009
Underwood, Sienna | 1748392 | 12 | Drama, Environmental Club | 01/22/2008
Landon, Bryce | 1520938 | 12 | Debate, Robotics | 07/07/2009
Summers, Theo | 1283920 | 11 | Math League | 05/28/2010
Yeats, Mira | 1620394 | 10 | Drama, Debate | 11/08/2011
Quinn, Tessa | 1384920 | 11 | Art Society | 06/10/2009
Owens, Harper | 1992845 | 12 | Math League, Debate | 06/04/2009
King, Sariah | 1059483 | 10 | Art Society | 07/21/2011
Reeves, Nolan | 1758492 | 12 | Robotics, Coding Club | 04/12/2009
Jennings, Reed | 1438294 | 11 | Robotics, Math League | 02/18/2009
Emerson, Blake | 1639204 | 10 | Coding Club | 11/13/2011
Monroe, Isla | 1784950 | 12 | Robotics, Environmental Club | 09/11/2009
Foster, Shane | 1292043 | 11 | Robotics | 08/07/2010
Tanner, Ivy | 1849203 | 10 | Environmental Club | 02/07/2011
Walker, Naomi | 1902837 | 09 | Coding Club, Robotics | 12/11/2011
Calder, Rowan | 1982049 | 11 | Debate | 05/07/2009
Holt, Xavier | 1692034 | 10 | Robotics | 03/18/2010
